City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
416,kiunga,-6.1219,141.2906,296.31,97,100,1.36,PG,1726517671
417,bam,29.106,58.357,301.88,21,0,2.55,IR,1726517672
418,mount pearl,47.5166,-52.7813,293.23,65,75,10.8,CA,1726517661
419,glendive,47.1053,-104.7125,302.94,39,0,6.17,US,1726517674
420,tabou,4.423,-7.3528,297.6,87,36,2.73,CI,1726517675
421,miasskoye,55.2784,61.8905,277.64,67,13,1.57,RU,1726517676
422,grand falls-windsor,48.9332,-55.6649,296.0,60,73,6.59,CA,1726517525
423,srikakulam,18.3,83.9,299.82,76,93,2.84,IN,1726517679
424,lemont,41.6736,-88.0017,306.22,36,0,3.09,US,1726517680
425,nadym,65.5333,72.5167,285.71,89,100,3.37,RU,1726517651
426,east stroudsburg,40.9995,-75.1813,299.59,46,100,2.87,US,1726517682
427,kingscliff,-28.2667,153.5667,284.79,93,0,2.06,AU,1726517514
428,charters towers,-20.1,146.2667,289.03,87,90,4.13,AU,1726517540
429,oranjemund,-28.55,16.4333,285.38,87,0,6.84,NA,1726517685
430,luanda,-8.8368,13.2343,296.15,83,75,3.6,AO,1726517686
431,afaahiti,-17.75,-149.2833,297.2,86,42,5.53,PF,1726517144
432,ad dilam,23.9915,47.1627,305.91,18,0,4.27,SA,1726517688
433,natchitoches,31.7668,-93.1335,300.14,69,100,0.0,US,1726517689
434,karaton,-6.3424,106.1045,293.89,84,99,1.43,ID,1726517690
435,lubao,14.9167,120.55,299.99,97,100,0.95,PH,1726517692
436,maragogi,-9.0122,-35.2225,297.5,76,0,3.72,BR,1726517693
437,estes park,40.3772,-105.5217,296.47,28,100,3.13,US,1726517694
438,suomussalmi,64.8869,28.9078,281.43,74,100,2.15,FI,1726517695
439,saint-pierre,-21.3393,55.4781,291.97,72,0,3.6,RE,1726517696
440,okha,53.5739,142.9478,284.2,84,100,2.84,RU,1726517697
441,andergrove,-21.0833,149.1833,293.45,70,99,8.33,AU,1726517646
442,leshan,29.5623,103.7639,296.47,89,1,0.9,CN,1726517700
443,hassi messaoud,31.6804,6.0729,304.07,30,0,2.06,DZ,1726517701
444,stropkov,49.2021,21.6522,285.63,94,100,1.67,SK,1726517702
445,salinopolis,-0.6136,-47.3561,300.84,79,0,7.28,BR,1726517703
446,nahrin,36.0649,69.1334,293.39,36,99,3.23,AF,1726517705
447,kuala terengganu,5.3302,103.1408,299.12,94,20,1.03,MY,1726517706
448,yura,-16.2522,-71.6797,294.44,13,0,4.63,PE,1726517707
449,twon-brass,4.3151,6.2418,299.29,85,100,5.49,NG,1726517708
450,black point,-34.6187,137.8972,281.35,79,0,3.18,AU,1726517709
451,ndele,8.4109,20.6473,295.06,93,91,0.91,CF,1726517710
452,pacific grove,36.6177,-121.9166,288.94,94,100,4.63,US,1726517711
453,yangliuqing,39.1375,116.9997,295.12,74,0,1.4,CN,1726517712
454,ottumwa,41.02,-92.4113,304.45,56,20,3.6,US,1726517713
455,forio,40.7342,13.8646,293.39,80,100,0.45,IT,1726517714
456,lodja,-3.4833,23.4333,297.0,70,5,1.3,CD,1726517716
457,katsuren-haebaru,26.3369,127.8719,301.53,79,20,6.69,JP,1726517718
458,saint-philippe,-21.3585,55.7679,294.01,77,42,6.41,RE,1726517623
459,amga,60.8953,131.9608,270.72,91,1,1.04,RU,1726517721
460,island harbour,50.724,-1.2758,286.49,83,100,4.53,GB,1726517722
461,magong,23.5654,119.5863,301.25,90,55,3.26,TW,1726517723
462,dul'durga,50.6761,113.5931,278.74,83,5,0.89,RU,1726517724
463,moussoro,13.6408,16.4901,303.42,54,29,3.82,TD,1726517725
464,polillo,14.7122,121.9392,299.0,83,100,1.76,PH,1726517726
465,papao,-17.75,-149.55,299.97,82,20,5.08,PF,1726517727
466,moyobamba,-6.05,-76.9667,302.21,51,62,2.4,PE,1726517728
467,east ballina,-28.8667,153.5833,285.27,85,10,4.27,AU,1726517730
468,katutura,-22.521,17.0557,288.65,7,0,2.9,NA,1726517731
469,nouadhibou,20.931,-17.0347,295.14,83,9,8.23,MR,1726517732
470,fale old settlement,-9.3852,-171.2468,300.11,81,60,3.65,TK,1726517733
471,el granada,37.5027,-122.4694,293.62,72,75,3.09,US,1726517734
472,ilheus,-14.7889,-39.0494,300.05,74,20,3.53,BR,1726517735
473,umm kaddadah,13.6017,26.6876,302.57,51,94,7.98,SD,1726517736
474,magistral'nyy,56.1725,107.4458,272.47,93,79,1.26,RU,1726517737
475,pikalevo,59.5183,34.1664,288.58,61,27,1.31,RU,1726517738
476,shimoda,34.6667,138.95,297.67,89,70,1.89,JP,1726517739
477,tarauaca,-8.1614,-70.7656,311.32,24,42,1.46,BR,1726517740
478,manicore,-5.8092,-61.3003,311.2,26,100,1.09,BR,1726517741
479,nuuk,64.1835,-51.7216,276.49,100,100,2.06,GL,1726517563
480,san patricio,28.017,-97.5169,304.12,42,1,2.73,US,1726517744
481,arvika,59.6553,12.5852,284.1,91,25,0.26,SE,1726517745
482,kismayo,-0.3582,42.5454,298.26,87,20,6.18,SO,1726517746
483,mhamid,29.82,-5.72,305.56,21,0,3.82,MA,1726517747
484,sungai penuh,-2.0833,101.3833,290.24,98,88,0.89,ID,1726517748
485,orange,33.7,-117.7675,297.38,57,40,6.69,US,1726517749
486,zavetnoye,47.1194,43.8903,291.88,34,3,4.05,RU,1726517750
487,kruisfontein,-34.0033,24.7314,283.29,83,0,0.93,ZA,1726517751
